 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Região/Unidade da Federação e Ano
Período:1994-2019
"Região/Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"Região Norte";779674;1105842;1573711;1856485;2032740;5196092;5901829;6522892;6466918;6284436;8210543;7761367;7921316;7951820;7702273;7684934;7351471;4682365;4638321;4911878;6079213;5908687;5277111;5285639;5199754;3474468;137761779
".. Rondônia";150744;169930;260583;221136;254228;511993;595405;634672;603409;567875;732052;698279;702254;671022;670070;681503;647582;435345;427785;487788;664623;692060;619782;580329;554429;344707;13579585
".. Acre";22658;57518;45907;78576;79331;240690;245193;281863;309201;300787;378766;353552;349014;386861;379638;390602;375827;257132;240469;240916;254867;294119;259444;265563;266548;183891;6538933
".. Amazonas";127265;236612;279674;427850;430178;1013496;1198384;1327220;1360736;1270370;1581187;1613814;1685221;1704003;1647149;1703841;1658753;1090240;1149204;1173912;1546920;1721877;1404249;1412102;1435823;996366;31196446
".. Roraima";38382;56559;58502;51558;64159;139177;187080;162704;171102;168107;220949;210400;207007;218408;203350;225293;216961;146403;134478;137917;223255;261569;223781;223177;237162;146819;4334259
".. Pará";440625;552664;722825;890749;914640;2585184;2886309;3182573;3209151;3183958;4313926;3928530;4003528;3997712;3856972;3699454;3535221;2159285;2120596;2217128;2577588;2121121;1986047;2067185;1994916;1299432;64447319
".. Amapá";-;32559;43911;54202;80449;205472;232258;342676;256112;263949;342556;323676;326160;326178;319122;354299;318085;200416;201291;235158;291264;317476;309878;240586;241570;165800;6025103
".. Tocantins";-;-;162309;132414;209755;500080;557200;591184;557207;529390;641107;633116;648132;647636;625972;629942;599042;393544;364498;419059;520696;500465;473930;496697;469306;337453;11640134
"Região Nordeste";3144653;4249987;5040443;5850693;5982505;18331453;19918009;21021378;20445908;19684738;25213904;23185473;23088778;23255094;22327863;22684034;22170262;13163856;12588884;14087874;18203438;17877921;14253705;13964920;14043460;8669018;412448251
".. Maranhão";395000;482285;567243;700146;802799;2231202;2453795;2754985;2714036;2698158;3305897;3300894;3338694;3478280;3335303;3299816;3420909;1938353;1834049;2049197;2506954;2470155;1768910;1804725;1808791;1123803;56584379
".. Piauí";327096;288726;284130;308842;348572;1045207;1208893;1260538;1247873;1175552;1494494;1380359;1409417;1409679;1340657;1344452;1274272;790815;767241;830563;929808;843986;766717;794144;813143;520133;24205309
".. Ceará";708696;731122;894330;1092139;958365;3180674;3403095;3464853;3335843;3134287;3773711;3637003;3555125;3578539;3408148;3436035;3358407;1973183;1875068;2162076;3097412;3090798;2772563;2527779;2596746;1559778;67305775
".. Rio Grande do Norte";192475;257873;303590;308454;299258;983207;1048720;1074655;1068538;1044353;1312706;1208144;1214854;1211525;1169816;1208269;1176268;715550;700617;739553;976055;955413;715152;651844;773048;427102;21737039
".. Paraíba";-;160631;323476;399938;390460;1294082;1381868;1463207;1404985;1320266;1667647;1591982;1585239;1612476;1554440;1576092;1547527;894610;815971;963126;1185760;1091866;933768;946139;974210;608801;27688567
".. Pernambuco";527256;1191428;1130697;1127214;1121468;2953463;3297620;3308789;3296188;3220240;3926773;3728745;3749519;3819635;3657438;3740084;3579686;2264640;2122509;2334099;3098012;3270650;2643965;2454143;2410864;1536040;69511165
".. Alagoas";-;178302;299818;304852;329757;1086283;1196604;1247844;1287595;1217980;1700397;1442279;1399699;1361961;1306284;1393230;1310661;736926;747338;840673;1124168;1114133;871125;905807;926598;584861;24915175
".. Sergipe";-;237617;242572;250807;247439;812313;796246;804610;774545;744964;897079;838923;867588;905294;879278;873594;851030;530191;503959;600576;733179;714208;550085;562373;574293;375131;16167894
".. Bahia";994130;722003;994587;1358301;1484387;4745022;5131168;5641897;5316305;5128938;7135200;6057144;5968643;5877705;5676499;5812462;5651502;3319588;3222132;3568011;4552090;4326712;3231420;3317966;3165767;1933369;104332948
"Região Sudeste";256603;3998570;3877218;7637382;8099308;25164631;27403736;27910784;25695715;24605540;29795523;28770865;28730277;28727467;28071074;28880793;28802437;17575425;16638377;19417332;25678107;25876716;21095974;21658719;21509160;12849521;538727254
".. Minas Gerais";-;-;-;1796982;1813559;6477184;6961244;7888036;6637190;6206032;7495444;7335918;7275695;7274762;7066647;7223274;7414886;4334695;3998586;4784266;5908170;5849587;5192087;5320343;5380265;3396051;133030903
".. Espírito Santo";256603;397685;411887;378316;440462;1141437;1214667;1233262;1176631;1155743;1412016;1337730;1350601;1342801;1312947;1327848;1318686;818355;783980;882253;1221179;1220295;1018857;980208;1042704;697564;25874717
".. Rio de Janeiro";-;906575;779704;1409487;1519764;4872715;5385808;5263389;5118198;4888554;5935843;5737326;5590987;5644703;5418391;5589928;5397199;3271147;3034612;3452853;4792974;4947569;4269415;4170602;3678944;1506798;102583485
".. São Paulo";-;2694310;2685627;4052597;4325523;12673295;13842017;13526097;12763696;12355211;14952220;14359891;14512994;14465201;14273089;14739743;14671666;9151228;8821199;10297960;13755784;13859265;10615615;11187566;11407247;7249108;277238149
"Região Sul";437164;2236326;2393301;2864833;2647241;8149882;9198595;9305993;8798989;8366148;10244916;9497506;9613113;9528842;9297101;9551065;9480855;5710715;5469356;6522692;8421804;8300237;7369548;7497722;7752142;5492656;184148742
".. Paraná";-;610367;904583;1258159;1056241;3018261;3750742;3771473;3547068;3317332;4267323;3820725;3912713;3938642;3806543;3934622;3911435;2415754;2330836;2728430;3393790;3425656;2978313;3121299;3143311;2226662;74590280
".. Santa Catarina";437164;529270;476830;616029;618793;1734001;1908182;1929301;1808394;1767949;2101818;2049994;2095555;2082713;2073138;2135501;2158029;1322747;1277068;1467668;2047870;2066422;1789983;1742437;1933449;1436410;41606715
