country,region_name,nuts_code,year_week,rate_14_day_per_100k,source
Austria,Burgenland,AT11,2020-13,,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-14,38.3784591558098,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-15,37.0199296281705,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-16,27.8498553166053,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-17,13.9249276583027,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-18,6.4530152562866,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-19,3.73595620100803,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-20,3.05669143718839,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-21,2.71705905527857,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-22,1.35852952763928,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-23,0.679264763819642,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-24,0.339632381909821,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-25,2.37742667336875,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-26,3.39632381909821,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-27,4.75485334673749,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-28,7.47191240201606,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-29,8.83044192965534,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-30,11.2078686030241,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-31,11.2078686030241,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-32,7.81154478392588,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-33,7.47191240201606,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-34,15.9627219497616,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-35,23.4346343517776,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-36,27.8498553166053,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-37,35.3217677186214,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-38,52.6430191960222,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-39,72.6813297287017,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-40,89.3233164422829,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-41,124.305451778994,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-42,152.49493947751,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-43,285.970465568069,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-44,520.656441467755,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-45,749.568666874975,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-46,939.762800744474,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-47,823.608526131316,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-48,622.546156040702,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-49,445.597685065685,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-50,294.800907497724,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-51,270.687008382127,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-52,219.402518713744,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2020-53,250.648697849448,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-01,279.177817929873,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-02,238.082299718784,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-03,212.270238693638,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-04,201.402002472524,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-05,201.062370090614,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-06,211.590973929818,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-07,270.347376000217,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-08,346.764661929927,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-09,422.842315477727,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-10,505.033351899904,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-11,513.863793829559,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-12,514.882690975288,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-13,475.485334673749,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-14,418.766726894809,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-15,331.820837125895,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-16,219.402518713744,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-17,185.439280522762,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-18,132.45662894483,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-19,85.247727859365,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-20,63.5112554171365,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-21,41.0955182110883,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-22,26.491325788966,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-23,20.0383105326794,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-24,24.1138991155973,"Epidemic intelligence, subnational weekly data"
Austria,Burgenland,AT11,2021-25,23.0950019698678,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-13,,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-14,62.5784085491368,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-15,61.8065685954947,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-16,34.0203302643789,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-17,9.26207944370526,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-18,9.08396253132631,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-19,7.18404879928421,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-20,8.60898409831579,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-21,9.0245902272,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-22,4.09668898471579,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-23,2.07803064442105,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-24,3.3842213352,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-25,4.21543359296842,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-26,5.16539045898947,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-27,4.69041202597894,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-28,4.80915663423158,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-29,10.5682701344842,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-30,14.7243314233263,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-31,12.2306946500211,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-32,9.61831326846316,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-33,15.1993098563368,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-34,20.7209341400842,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-35,23.8082939546526,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-36,32.6547672694737,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-37,60.3222609923368,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-38,84.1899272511158,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-39,99.5079817157052,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-40,107.701359685137,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-41,127.116103134442,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-42,170.220395930147,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-43,274.953140408968,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-44,441.967431916295,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-45,662.238680224926,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-46,785.198722070526,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-47,729.091894671158,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-48,600.194622412926,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-49,452.120095921895,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-50,387.285539815958,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-51,336.225358267326,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-52,286.5307397136,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2020-53,309.804682931116,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-01,311.942085879663,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-02,271.509546769642,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-03,229.889561577095,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-04,198.362868086021,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-05,205.250055364674,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-06,226.149106417137,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-07,285.937016672337,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-08,374.579866732926,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-09,422.137082338105,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-10,446.835960854653,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-11,500.152289960084,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-12,556.793468096589,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-13,560.237061735916,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-14,474.562826881642,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-15,355.877590933137,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-16,272.518875939789,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-17,215.224602457895,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-18,161.195805702947,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-19,115.004153092674,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-20,81.043195132421,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-21,66.0813744925895,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-22,57.8286242190316,"Epidemic intelligence, subnational weekly data"
Austria,Niederosterreich,AT12,2021-23,37.8795300325895,"Epidemic intelligence, subnational weekly data"
